length_s,rate,wav_location,species,key,bird_id,start_time,end_time,spectrogram,syllables_sequence_pos,syllables_sequence_id
1.3968253968253967,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout2.wav,Junco-hyemalis,bout2,139623,0.7,0.7536507936507936,"[[9 9 9 ... 9 9 9]
 [9 9 9 ... 9 9 9]
 [9 9 9 ... 9 9 9]
 ...
 [9 9 9 ... 9 9 9]
 [9 9 9 ... 9 9 9]
 [9 9 9 ... 9 9 9]]",7,1
1.3968253968253967,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout2.wav,Junco-hyemalis,bout2,139623,0.765079365079365,0.8117460317460317,"[[9 9 9 ... 9 9 9]
 [9 9 9 ... 9 9 9]
 [9 9 9 ... 9 9 9]
 ...
 [9 9 9 ... 9 9 9]
 [9 9 9 ... 9 9 9]
 [9 9 9 ... 9 9 9]]",8,1
1.3968253968253967,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout2.wav,Junco-hyemalis,bout2,139623,0.8314285714285713,0.8768253968253967,"[[6 6 6 ... 6 6 6]
 [6 6 6 ... 6 6 6]
 [6 6 6 ... 6 6 6]
 ...
 [6 6 6 ... 6 6 6]
 [6 6 6 ... 6 6 6]
 [6 6 6 ... 6 6 6]]",9,1
1.3968253968253967,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout2.wav,Junco-hyemalis,bout2,139623,0.9006349206349206,0.9517460317460317,"[[5 5 5 ... 5 5 5]
 [5 5 5 ... 5 5 5]
 [5 5 5 ... 5 5 5]
 ...
 [5 5 5 ... 5 5 5]
 [5 5 5 ... 5 5 5]
 [5 5 5 ... 5 5 5]]",10,1
1.3968253968253967,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout2.wav,Junco-hyemalis,bout2,139623,0.9692063492063492,1.0231746031746032,"[[9 9 9 ... 9 9 9]
 [9 9 9 ... 9 9 9]
 [9 9 9 ... 9 9 9]
 ...
 [9 9 9 ... 9 9 9]
 [9 9 9 ... 9 9 9]
 [9 9 9 ... 9 9 9]]",11,1
1.3968253968253967,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout2.wav,Junco-hyemalis,bout2,139623,1.0387301587301585,1.0885714285714285,"[[8 8 8 ... 8 8 8]
 [8 8 8 ... 8 8 8]
 [8 8 8 ... 8 8 8]
 ...
 [8 8 8 ... 8 8 8]
 [8 8 8 ... 8 8 8]
 [8 8 8 ... 8 8 8]]",12,1
1.3968253968253967,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout2.wav,Junco-hyemalis,bout2,139623,1.1063492063492062,1.159047619047619,"[[9 9 9 ... 9 9 9]
 [9 9 9 ... 9 9 9]
 [9 9 9 ... 9 9 9]
 ...
 [9 9 9 ... 9 9 9]
 [9 9 9 ... 9 9 9]
 [9 9 9 ... 9 9 9]]",13,1
1.3968253968253967,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout2.wav,Junco-hyemalis,bout2,139623,1.1761904761904762,1.267936507936508,"[[15 15 15 ... 15 15 15]
 [15 15 15 ... 15 15 15]
 [15 15 15 ... 15 15 15]
 ...
 [15 15 15 ... 15 15 15]
 [15 15 15 ... 15 15 15]
 [15 15 15 ... 15 15 15]]",14,1
1.3968253968253967,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout2.wav,Junco-hyemalis,bout2,139623,1.282857142857143,1.375873015873016,"[[16 16 16 ... 16 16 16]
 [16 16 16 ... 16 16 16]
 [16 16 16 ... 16 16 16]
 ...
 [16 16 16 ... 16 16 16]
 [16 16 16 ... 16 16 16]
 [16 16 16 ... 16 16 16]]",15,1
1.3968253968253967,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout2.wav,Junco-hyemalis,bout2,139623,1.3961904761904762,1.4892063492063492,"[[15 15 15 ... 15 15 15]
 [15 15 15 ... 15 15 15]
 [15 15 15 ... 15 15 15]
 ...
 [15 15 15 ... 15 15 15]
 [15 15 15 ... 15 15 15]
 [15 15 15 ... 15 15 15]]",16,1
1.3968253968253967,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout2.wav,Junco-hyemalis,bout2,139623,1.5104761904761903,1.6161904761904762,"[[20 20 20 ... 20 20 20]
 [20 20 20 ... 20 20 20]
 [20 20 20 ... 20 20 20]
 ...
 [20 20 20 ... 20 20 20]
 [20 20 20 ... 20 20 20]
 [20 20 20 ... 20 20 20]]",17,1
1.4698412698412697,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout3.wav,Junco-hyemalis,bout3,139623,0.20476190476190476,0.24476190476190476,"[[13 13 13 ... 13 13 13]
 [13 13 13 ... 13 13 13]
 [13 13 13 ... 13 13 13]
 ...
 [13 13 13 ... 13 13 13]
 [13 13 13 ... 13 13 13]
 [13 13 13 ... 13 13 13]]",0,2
1.4698412698412697,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout3.wav,Junco-hyemalis,bout3,139623,0.2679365079365079,0.31587301587301586,"[[11 11 11 ... 11 11 11]
 [11 11 11 ... 11 11 11]
 [11 11 11 ... 11 11 11]
 ...
 [11 11 11 ... 11 11 11]
 [11 11 11 ... 11 11 11]
 [11 11 11 ... 11 11 11]]",1,2
1.4698412698412697,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout3.wav,Junco-hyemalis,bout3,139623,0.33650793650793653,0.3850793650793651,"[[11 11 11 ... 11 11 11]
 [11 11 11 ... 11 11 11]
 [11 11 11 ... 11 11 11]
 ...
 [11 11 11 ... 11 11 11]
 [11 11 11 ... 11 11 11]
 [11 11 11 ... 11 11 11]]",2,2
1.4698412698412697,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout3.wav,Junco-hyemalis,bout3,139623,0.40825396825396826,0.46,"[[9 9 9 ... 9 9 9]
 [9 9 9 ... 9 9 9]
 [9 9 9 ... 9 9 9]
 ...
 [9 9 9 ... 9 9 9]
 [9 9 9 ... 9 9 9]
 [9 9 9 ... 9 9 9]]",3,2
1.4698412698412697,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout3.wav,Junco-hyemalis,bout3,139623,0.4774603174603174,0.5273015873015873,"[[14 14 14 ... 14 14 14]
 [14 14 14 ... 14 14 14]
 [14 14 14 ... 14 14 14]
 ...
 [14 14 14 ... 14 14 14]
 [14 14 14 ... 14 14 14]
 [14 14 14 ... 14 14 14]]",4,2
1.4698412698412697,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout3.wav,Junco-hyemalis,bout3,139623,0.5466666666666666,0.5952380952380952,"[[10 10 10 ... 10 10 10]
 [10 10 10 ... 10 10 10]
 [10 10 10 ... 10 10 10]
 ...
 [10 10 10 ... 10 10 10]
 [10 10 10 ... 10 10 10]
 [10 10 10 ... 10 10 10]]",5,2
1.4698412698412697,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout3.wav,Junco-hyemalis,bout3,139623,0.6155555555555555,0.6634920634920635,"[[11 11 11 ... 11 11 11]
 [11 11 11 ... 11 11 11]
 [11 11 11 ... 11 11 11]
 ...
 [11 11 11 ... 11 11 11]
 [11 11 11 ... 11 11 11]
 [11 11 11 ... 11 11 11]]",6,2
1.4698412698412697,44100,tutorial_birds_dataset\Junco-hyemalis-139623_F1\Junco-hyemalis-139623_F1_bout3.wav,Junco-hyemalis,bout3,139623,0.6825396825396826,0.7314285714285713,"[[11 11 11 ... 11 11 11]
 [11 11 11 ... 11 11 11]
 [11 11 11 ... 11 11 11]
 ...
 [11 11 11 ... 11 11 11]
 [11 11 11 ... 11 11 11]
 [11 11 11 ... 11 11 11]]",7,2
